SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1567679954,1317.9,20190905 03:39:13,5:39:13,,1,2,B3_R2,1567679946,0.000180381,-0.558824196,400.6080968,462.2681068,46.64776174,40.42561184,0.012514082,2.271081553,0.0124759,0.007800858,0.001993935,24.65889545,23.9255129,2.981599843,49.74612392,1.555397901,3.126671545,1.426201941,-7.954797012,97.0712562,8.979469719,98.09792284,-0.041753718,0.046872206,3.492982158,9,2,1,0,53651.08446,MPF-948-20190905-03_39_12,694.71,3982.33,3287.62,0.825551875,-0.558824196,-,0,0,#DIV/0!,0.5,0.020992525,-0.558824196,#DIV/0!,#DIV/0!,2.25E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.211310918,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567679946,400.6080968,400.0242258,15.41361935,15.2005,500.0030968,100.7106129,0.200008129,24.71832903,23.9255129,999.9,0,0,9998.064516,0,0.229539,0.0499911,0,0,0,694.9841935,0.0499911,-11.16483871,-2.092580645,34.179,38.437,36.75,38.687,36.33232258,0,0,0,173.4000001,694.71,1.238290545,-2.513162404,-11.05269231,15,1567679971,3:39:30,6,-1.159,0.115,400,15,0.32,0.1,0.48787339,0.408464969,0.048924775,1,694.6732353,2.721327157,2.254279226,0,0.205794805,0.057814704,0.005929276,1,2,3,3-Feb,100,100,-1.159,0.115,2,490.16,1283.69,24.4772,25.0124,30.0002,24.9772,24.9378,28.5402,26.4282,64.3758,-999.9,400,15.2346,102.209,102.783
7,1567680354,1718.4,20190905 03:45:54,5:45:54,,1,5,B1_R3,1567680346,0.000186265,-0.842578964,400.9113871,495.6206906,50.00303952,40.4478431,0.012858322,2.270947745,0.012818012,0.008014869,0.001993935,24.40396861,23.83370968,2.965187852,49.73757421,1.531781164,3.07972632,1.433406688,-8.214291897,77.33355517,7.141635709,76.26289292,-0.041750085,0.046868128,3.492742029,0,0,1,0,53691.77453,MPF-949-20190905-03_45_52,723.7346154,14610.5,13886.76538,0.950464761,-0.842578964,-,0,0,#DIV/0!,0.5,0.020992525,-0.842578964,#DIV/0!,#DIV/0!,1.36E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.052116861,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567680346,400.9113871,399.989871,15.18272581,14.96259355,499.9824516,100.6897419,0.199991806,24.46535806,23.83370968,999.9,0,0,9999.266774,0,0.229539,0.0499911,0,0,0,723.7332258,0.0499911,-11.58709677,-2.157096774,34.125,38.5,36.75,38.75,36.312,0,0,0,399.6000001,723.7346154,0.599658172,2.982905997,-11.61192308,15,1567680372,3:46:11,7,-1.078,0.117,400,15,0.26,0.15,1.090927073,-4.290972836,0.451555029,0,723.3335294,4.356599474,2.035760997,0,0.232277951,-0.242463303,0.025717453,0,0,3,0/3,100,100,-1.078,0.117,2,500.646,1287.36,24.2598,24.6827,29.9999,24.7398,24.7234,28.5454,26.9511,58.4073,-999.9,400,15.0103,102.236,102.808
8,1567680499,1863.4,20190905 03:48:19,5:48:19,,1,4,B1_R3,1567680491,7.70E-05,-0.470876726,400.5034516,531.9367172,53.6640995,40.40453757,0.005300792,2.271003073,0.005293928,0.003309321,0.001993935,24.52033324,23.85812903,2.969545657,49.57140592,1.53402264,3.094571582,1.435523017,-3.397867031,84.18425704,7.778212324,88.56659627,-0.041751587,0.046869814,3.492841319,8,2,1,0,53679.00981,MPF-950-20190905-03_48_17,744.6488462,4196.2,3451.551154,0.822542099,-0.470876726,-,0,0,#DIV/0!,0.5,0.020992525,-0.470876726,#DIV/0!,#DIV/0!,2.25E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.215743245,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567680491,400.5034516,399.9754194,15.20575161,15.11469677,499.9902258,100.6843871,0.199980839,24.54571613,23.85812903,999.9,0,0,10000.15839,0,0.229539,0.0499911,0,0,0,744.6912903,0.0499911,-11.73935484,-2.180967742,34.187,38.5,36.75,38.70529032,36.37296774,0,0,0,144,744.6488462,8.262906043,-4.517606788,-11.57538462,15,1567680516,3:48:35,8,-1.025,0.121,400,15,0.48,0.19,0.483704317,-0.129725812,0.02608478,1,744.6294118,0.947124077,2.154639237,1,0.091654732,-0.092599296,0.00955298,1,3,3,3-Mar,100,100,-1.025,0.121,2,491.155,1289.28,24.2041,24.6437,30.0004,24.6943,24.683,28.5547,25.2454,56.5345,-999.9,400,15.2463,102.23,102.796
9,1567680682,2046.4,20190905 03:51:22,5:51:22,,1,1,B1_R3,1567680674,0.000211365,-0.546539588,400.5371613,447.9461556,45.19783215,40.41425774,0.015468758,2.272019046,0.015410486,0.009636771,0.001993935,24.31229658,23.31929677,2.874677771,49.63181844,1.520907924,3.064380817,1.353769848,-9.321209493,130.1616494,11.97836489,132.8207988,-0.041779178,0.046900787,3.494664729,14,3,1,0,53742.95695,MPF-951-20190905-03_51_20,664.9584615,4836.77,4171.811538,0.86252014,-0.546539588,-,0,0,#DIV/0!,0.5,0.020992525,-0.546539588,#DIV/0!,#DIV/0!,-2.70E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.159393217,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567680674,400.5371613,399.9829032,15.07339677,14.82358065,499.9980645,100.7001613,0.199983935,24.38193548,23.31929677,999.9,0,0,10005.19935,0,0.229539,0.0499911,0,0,0,665.0141935,0.0499911,-11.11258065,-2.050645161,34.187,38.437,36.75,38.637,36.312,0,0,0,181.8,664.9584615,2.147692309,4.367521472,-10.94269231,15,1567680706,3:51:45,9,-0.978,0.117,400,15,0.39,0.35,0.504715268,0.051044425,0.03401721,1,664.9702941,0.642774509,1.546826895,1,0.263538463,-0.120564983,0.017810993,0,2,3,3-Feb,100,100,-0.978,0.117,2,483.536,1286.67,24.1185,24.7031,30.0002,24.7277,24.7029,28.5631,25.8885,54.2755,-999.9,400,14.8989,102.205,102.78
10,1567681568,2932.5,20190905 04:06:08,6:06:08,,1,5,B2_R3,1567681560,0.000577304,-0.650433121,400.4910968,416.2245935,42.02033291,40.43194342,0.04254646,2.272002885,0.042108741,0.026356915,0.001993935,23.95032188,23.2121129,2.856126181,49.72618124,1.501910663,3.020361961,1.354215518,-25.45911335,113.7279411,10.44766805,98.71848971,-0.041778739,0.046900294,3.49463572,14,3,1,0,53787.28401,MPF-952-20190905-04_06_06,704.4315385,3840,3135.568462,0.816554287,-0.650433121,-,0,0,#DIV/0!,0.5,0.020992525,-0.650433121,#DIV/0!,#DIV/0!,-8.99E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.224658319,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567681560,400.4910968,399.988,14.87689677,14.19440645,499.9769032,100.7559032,0.200007516,24.14059355,23.2121129,999.9,0,0,9999.559032,0,0.229539,0.0499911,0,0,0,704.4509677,0.0499911,-13.42516129,-2.295806452,33.8,38.125,36.391,38.187,35.97967742,0,0,0,884.8,704.4315385,-0.438974384,-4.834187914,-13.49692308,15,1567681587,4:06:26,10,-0.851,0.112,400,14,0.31,0.08,0.418418268,-0.780542321,0.080558364,1,704.3164706,0.068436209,1.642229264,1,0.698908439,-0.195774606,0.020458255,0,2,3,3-Feb,100,100,-0.851,0.112,2,483.922,1287.29,23.8331,24.4409,30,24.4505,24.4095,28.5815,27.466,44.2039,-999.9,400,14.2487,102.186,102.775
11,1567681792,3156,20190905 04:09:51,6:09:51,,1,4,B2_R3,1567681784,0.000319586,-0.525982992,400.4680645,427.5205376,43.16326781,40.43199986,0.023397736,2.271985762,0.023264692,0.014552323,0.001993935,23.8217911,23.09541935,2.836047789,49.591924,1.478776935,2.98189063,1.357270854,-14.09372984,101.87466,9.343213578,97.12613768,-0.041778274,0.046899772,3.494604986,16,3,1,0,53825.50668,MPF-953-20190905-04_09_50,616.9634615,3477.87,2860.906538,0.82260307,-0.525982992,-,0,0,#DIV/0!,0.5,0.020992525,-0.525982992,#DIV/0!,#DIV/0!,-6.77E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.215653134,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567681784,400.4680645,399.9904516,14.6468871,14.26899032,499.9853871,100.761871,0.199987032,23.92713548,23.09541935,999.9,0,0,9998.855484,0,0.229539,0.0499911,0,0,0,617.056129,0.0499911,-13.76483871,-2.400322581,33.73374194,37.937,36.312,38.125,35.875,0,0,0,222.3999999,616.9634615,1.780170888,-0.151453013,-13.74192308,15,1567681812,4:10:12,11,-0.837,0.116,400,14,0.36,0.29,0.454902561,0.291693094,0.049466237,1,616.6505882,5.08940293,1.770519932,0,0.366759878,0.16612501,0.016574887,0,1,3,3-Jan,100,100,-0.837,0.116,2,481.101,1286.53,23.6659,24.2881,29.9999,24.3453,24.3263,28.6112,26.185,41.5917,-999.9,400,14.3783,102.207,102.799
12,1567682022,3386,20190905 04:13:41,6:13:41,,1,2,B2_R3,1567682014,0.000131893,-0.373343547,400.3830645,452.5385758,45.6909482,40.42502195,0.009747564,2.272038731,0.009724391,0.006079822,0.001993935,23.86081375,22.99606129,2.819049589,49.66023118,1.47878089,2.977797032,1.340268698,-5.816495972,111.2479269,10.19632192,115.6297468,-0.041779713,0.046901388,3.494700061,1,0,1,0,53831.5154,MPF-954-20190905-04_13_40,742.8323077,16560.4,15817.56769,0.95514406,-0.373343547,-,0,0,#DIV/0!,0.5,0.020992525,-0.373343547,#DIV/0!,#DIV/0!,9.03E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.046962486,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567682014,400.3830645,399.9984194,14.64634516,14.49039032,499.9969677,100.765871,0.199992806,23.90428065,22.99606129,999.9,0,0,9998.802903,0,0.229539,0.0499911,0,0,0,742.7096774,0.0499911,-14.93580645,-2.497419355,33.625,37.87093548,36.187,38.06606452,35.764,0,0,0,229.2,742.8323077,7.578119657,-8.665641028,-14.99807692,15,1567682040,4:13:59,12,-0.833,0.119,400,15,0.53,0.14,0.373849927,0.098128474,0.019723664,1,742.9052941,2.464394641,1.852802703,0,0.147784659,0.109485617,0.011272323,0,1,3,3-Jan,100,100,-0.833,0.119,2,499.315,1287.22,23.58,24.1958,30.0002,24.2797,24.2777,28.6158,23.8897,38.9709,-999.9,400,14.5517,102.213,102.8
13,1567682454,3818,20190905 04:20:53,6:20:53,,1,6,B3_R1,1567682446,0.000232613,-0.534653832,400.4639355,440.5367265,44.47519148,40.42956952,0.017505772,2.271979951,0.017431181,0.010901163,0.001993935,23.59283715,22.70819677,2.770303807,49.42854769,1.451238476,2.936033009,1.319065331,-10.25822812,117.750293,10.76405776,118.2581165,-0.041778116,0.046899595,3.494594557,3,1,1,0,53871.94034,MPF-955-20190905-04_20_52,726.5342308,3729.82,3003.285769,0.805209305,-0.534653832,-,0,0,#DIV/0!,0.5,0.020992525,-0.534653832,#DIV/0!,#DIV/0!,3.70E-14,#DIV/0!,-,0,0,#DIV/0!,1,0,1.24191312,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567682446,400.4639355,399.934129,14.37484194,14.09971613,499.9947742,100.7568387,0.199991452,23.66952581,22.70819677,999.9,0,0,9999.317097,0,0.229539,0.0499911,0,0,0,726.2941935,0.0499911,-14.75967742,-2.44,33.35264516,37.5863871,35.937,37.812,35.5,0,0,0,431,726.5342308,2.708034044,4.788034179,-14.83192308,15,1567682474,4:21:14,13,-0.757,0.118,400,14,0.4,0.25,0.450084463,-0.082415122,0.041974399,1,726.1929412,2.878782756,1.929162466,0,0.284564171,-0.137127282,0.018139816,0,1,3,3-Jan,100,100,-0.757,0.118,2,497.495,1295.66,23.3113,23.992,30.0002,24.0658,24.0564,28.6137,23.9814,34.4083,-999.9,400,14.2331,102.232,102.819
14,1567682659,4023,20190905 04:24:18,6:24:18,,1,3,B3_R1,1567682651,0.000675527,-0.528344457,400.2502258,408.3724328,41.22141713,40.40155551,0.050810563,2.272296051,0.050187709,0.031422643,0.001993935,23.31457443,22.6181,2.755199505,48.911605,1.424666588,2.91273735,1.330532918,-29.79074373,112.606885,10.28085898,93.09899419,-0.041786703,0.046909234,3.495161938,8,2,1,0,53906.23254,MPF-956-20190905-04_24_17,668.8976923,3687.46,3018.562308,0.818602048,-0.528344457,-,0,0,#DIV/0!,0.5,0.020992525,-0.528344457,#DIV/0!,#DIV/0!,-1.58E-11,#DIV/0!,-,0,0,#DIV/0!,1,0,1.221594794,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567682651,400.2502258,399.9406774,14.11389032,13.31472258,500.0147419,100.7407742,0.199969645,23.53730968,22.6181,999.9,0,0,10002.9671,0,0.229539,0.0499911,0,0,0,668.8048387,0.0499911,-15.58225806,-2.63516129,33.312,37.558,35.875,37.75,35.44919355,0,0,0,204,668.8976923,-3.779829095,7.314188115,-15.51076923,15,1567682682,4:24:42,14,-0.716,0.109,400,13,0.23,0.11,0.254456268,0.340329763,0.039094811,1,668.9382353,-3.436432798,1.608911709,0,0.851456756,-0.810299624,0.086665164,0,1,3,3-Jan,100,100,-0.716,0.109,2,491.508,1283.84,23.2626,24.0822,30.0006,24.1115,24.0988,28.6074,27.4212,31.4137,-999.9,400,13.5219,102.201,102.776
15,1567682807,4171.4,20190905 04:26:47,6:26:47,,1,1,B3_R1,1567682799,0.000666178,-0.792779304,400.6226774,416.5602284,42.04691818,40.43820746,0.052839934,2.272727024,0.052166814,0.032664022,0.001993935,23.16144352,22.27650645,2.698585444,49.76695916,1.435985983,2.885420382,1.26259946,-29.37846674,135.3412392,12.32301381,118.2877802,-0.041798411,0.046922379,3.495935565,12,2,1,0,53949.0882,MPF-957-20190905-04_26_46,728.3676923,4072.07,3343.702308,0.821130852,-0.792779304,-,0,0,#DIV/0!,0.5,0.020992525,-0.792779304,#DIV/0!,#DIV/0!,-4.54E-12,#DIV/0!,-,0,0,#DIV/0!,1,0,1.217832697,0.0499911,0.020992525,0.41992524,0.09498309,6,0.5,0: Broadleaf,1567682799,400.6226774,399.9916129,14.22636129,13.43832903,500.0057419,100.7384194,0.199969161,23.3810871,22.27650645,999.9,0,0,10006.00387,0,0.290626194,0.0499911,0,0,0,728.6216129,0.0499911,-15.01387097,-2.499677419,33.312,37.48780645,35.875,37.69919355,35.433,0,0,0,147.5999999,728.3676923,-14.55658116,1.801025629,-14.87230769,15,1567682826,4:27:06,15,-0.733,0.107,400,13,0.34,0.09,0.840657805,-3.56134731,0.384005072,0,728.9229412,-9.66238377,1.869198522,0,0.812320073,-0.457100801,0.046316745,0,0,3,0/3,100,100,-0.733,0.107,2,486.312,1284.34,23.2377,24.2191,30.0003,24.2143,24.1749,28.6061,26.1597,30.2876,-999.9,400,13.5487,102.182,102.755
