Sample,Rep,Set,mAU Sample Delphinidin-3-glucoside,mAU Sample Cyanidin-3-glucoside,mAU Sample Petunidin-3-glucoside,mAU Sample Peonidin-3-glucoside,mAU Sample Malvidin-3-glucoside,mAU Delphinidin-3-glu-ac,mAU Sample Cyanidin-3-glu-ac,mAU Sample Petunidin-3-glu-ac,mAU Sample Peonidin-3-glu-ac,mAU Sample Malvidin-3-glu-ac,mAU Sample Peonidin-3-glu-p-coum,mAU Sample Malvidin-3-glu-p-coum,Concentration Delphinidin-3-glucoside Sample (mg/L),dephiglu_mg_berry,delphiglu_mg_ 60 berries,delphiglu_mg_g skin,delphiglu_mg_g berry,Concentration Cyanidin-3-glucoside Sample (mg/L),cyaniglu_mg_berry,cyaniglu_mg_60 berries,cyaniglu_mg_g skin,cyaniglu_mg_g berry,Concentration Petunidin-3-glucoside Sample (mg/L),petuglu_mg_berry,petuglu_mg_60 berries,petuglu_mg_g skin,petuglu_mg_g berry,Concentration Peonidin-3-glucoside Sample (mg/L),peoni_glu_mg_berry,peoni_glu_mg_60 berries,peoni_glu_mg_g skin,peoni_glu_mg_g berry,Concentration Malvidin Sample (mg/L)*10,malvi_glu_mg_berry,malvi_glu_mg_60 berries,malvi_glu_mg_g skin,malvi_glu_mg_g berry,Concentration Delphinidin-3-glu-ac Sample (mg/L),delphi_ac_mg_berry,delphi_ac_mg_60 berries,delphi_ac_mg_g skin,delphi_ac_mg_g berry,Concentration Cyanidin-3-glu-ac Sample (mg/L),cyani_ac_mg_berry,cyani_ac_mg_60 berries,cyani_ac_mg_g skin,cyani_ac_mg_g berry,Concentration Petunidin-3-glu-ac Sample (mg/L),petu_ac_mg_berry,petu_ac_mg_60 berries,petu_ac_mg_g skin,petu_ac_mg_g berry,Concentration Peonidin-3-glu-ac Sample (mg/L),peoni_ac_mg_berry,peoni_ac_mg_60 berries,peoni_ac_mg_g skin,peoni_ac_mg_g berry,Concentration Malvidin-3-glu-ac Sample (mg/L),malvi_ac_mg_berry,malvi_ac_mg_60 berries,malvi_ac_mg_g skin,malvi_ac_mg_g berry,Concentration Peonidin-3-glu-p-coum Sample (mg/L),peoni_coum_mg_berry,peoni_coum_mg_60 berries,peoni_coum_mg_g skin,peoni_coum_mg_g berry,Concentration Malvidin-3-glu-p-coum Sample (mg/L),malvi_coum_mg_berry,malvi_coum_mg_60 berries,malvi_coum_mg_g skin,malvi_coum_mg_g berry,Total Anthocyanins mg_60 berry,Mg_b,Extract_ini_vol,Extract_final_vol,dilution_factor,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
B3R3,2,Harvest,239.307,40.243,181.748,187.399,1257.313,49.457,9.807,60.466,80.574,690.365,40.378,177.671,42.77651928,0.038498867,2.309932041,0.261897057,0.038193321,8.683226124,0.007814904,0.468894211,0.053162609,0.00775288,32.91850446,0.029626654,1.777599241,0.201541864,0.029391522,33.88633993,0.030497706,1.829862356,0.207467387,0.030255661,217.1283709,0.195415534,11.72493203,1.329357373,0.193864617,10.26128948,0.009235161,0.554109632,0.062824221,0.009161866,3.470513276,0.003123462,0.187407717,0.02124804,0.003098673,12.14677889,0.010932101,0.65592606,0.074368034,0.010845338,15.59063583,0.014031572,0.841894335,0.095452872,0.013920211,120.0283208,0.108025489,6.481529324,0.73486727,0.107168144,8.706347304,0.007835713,0.470142754,0.053304167,0.007773524,32.22024483,0.02899822,1.739893221,0.197266805,0.028768076,29.04212292,0.484035382,54,51,0.94,671,8.82,60.48,60,3
B3R3,3,Harvest,214.104,38.94,164.273,178.367,1173.296,44.548,9.761,57.125,79.127,672.142,38.106,166.649,40.9149488,0.036823454,2.209407235,0.261468312,0.036634177,9.000068,0.008100061,0.486003672,0.057515227,0.008058426,31.8357406,0.028652167,1.719129992,0.203447336,0.028504891,34.4036674,0.030963301,1.85779804,0.219857756,0.030804146,215.6797312,0.194111758,11.64670548,1.378308341,0.193114002,10.0218456,0.009019661,0.541179662,0.06404493,0.008973299,3.6836542,0.003315289,0.198917327,0.023540512,0.003298248,12.313375,0.011082038,0.66492225,0.078689024,0.011025075,16.3221394,0.014689925,0.881395528,0.104307163,0.014614418,124.3694724,0.111932525,6.71595151,0.794787161,0.11135718,8.8481132,0.007963302,0.477798113,0.056544155,0.00792237,32.2686478,0.029041783,1.742506981,0.206213844,0.028892505,29.14171579,0.485695263,54,54,1,646,8.45,60.31,60,3
B1R2,1,1st point,89.75,20.247,73.643,93.53,571.07,21.522,5.747,32.817,53.014,399.69,33.976,83.955,18.0750735,0.016870069,1.012204116,0.154064553,0.016648094,5.538261366,0.005169044,0.310142636,0.047205881,0.00510103,15.16972505,0.01415841,0.849504603,0.129300548,0.013972115,18.75690234,0.017506442,1.050386531,0.159876184,0.017276094,104.8946125,0.097901638,5.874098298,0.894078889,0.096613459,5.768243316,0.005383694,0.323021626,0.049166153,0.005312856,2.922780366,0.002727928,0.1636757,0.024912588,0.002692035,7.805612826,0.007285239,0.437114318,0.06653186,0.00718938,11.44870729,0.01068546,0.641127608,0.097584111,0.010544862,73.98143082,0.069049335,4.142960126,0.630587538,0.068140792,8.014670928,0.00748036,0.448821572,0.068313786,0.007381934,17.02978299,0.015894464,0.953667847,0.145154924,0.015685326,16.20672498,0.270112083,56,55.5,0.99,308,6.57,60.8,60,1
B1R2,2,1st point,80.822,17.812,66.559,84.24,520.37,19.137,4.872,32.239,52.08,381.787,32.94,78.328,16.13203935,0.01505657,0.903394203,0.135036503,0.014858457,4.996030008,0.004662961,0.27977768,0.041820281,0.004601607,13.61128231,0.012703863,0.762231809,0.113935995,0.012536707,16.73611616,0.015620375,0.937222505,0.14009305,0.015414844,93.81511558,0.087560775,5.253646472,0.785298426,0.086408659,5.230202558,0.004881522,0.292891343,0.04378047,0.004817292,2.709092048,0.002528486,0.151709155,0.022677004,0.002495216,7.545771426,0.00704272,0.4225632,0.063163408,0.006950053,11.05235072,0.010315527,0.61893164,0.09251594,0.010179797,69.32278766,0.064701268,3.882076109,0.580280435,0.063849936,7.66966196,0.007158351,0.42950107,0.064200459,0.007064162,15.69126475,0.01464518,0.878710826,0.13134691,0.014452481,14.81265601,0.2468776,56,54.5,0.97,318,6.69,60.8,60,1
B1R2,3,1st point,65.642,16.401,55.14,76.032,462.292,15.572,4.882,26.638,45.537,341.788,26.155,67.301,13.58786895,0.012682011,0.760920661,0.127885825,0.012577201,4.795592956,0.004475887,0.268553206,0.045134993,0.004438896,11.71267384,0.010931829,0.655909735,0.11023693,0.010841483,15.44306579,0.014413528,0.864811684,0.145346502,0.014294408,84.41210635,0.078784633,4.727077956,0.794466883,0.07813352,4.647570032,0.004337732,0.260263922,0.043741836,0.004301883,2.738806392,0.002556219,0.153373158,0.025777001,0.002535094,6.623470728,0.006181906,0.370914361,0.062338548,0.006130816,9.998000572,0.009331467,0.559888032,0.094098829,0.009254348,62.89539413,0.058702368,3.522142071,0.591956651,0.058217224,6.53722818,0.006101413,0.366084778,0.061526853,0.006050988,13.88409336,0.012958487,0.777509228,0.13067382,0.012851392,13.28744879,0.22145748,56,55,0.98,304,5.95,60.5,60,1
B1R3,1,1st point,127.389,28.504,89.492,90.134,429.086,40.206,8.329,46.495,53.118,304.744,27.538,51.086,38.67783273,0.021917439,1.315046313,0.266203707,0.031310626,10.93188835,0.006194737,0.371684204,0.075239717,0.008849624,28.0443893,0.015891821,0.953509236,0.193018064,0.022702601,28.22452679,0.015993899,0.959633911,0.194257877,0.022848426,123.3303906,0.069887221,4.193233279,0.848832648,0.099838888,14.21532913,0.008055353,0.48332119,0.097838298,0.011507647,5.271025452,0.002986914,0.179214865,0.036278313,0.004267021,15.97994706,0.009055303,0.5433182,0.109983441,0.012936148,17.83828138,0.010108359,0.606501567,0.122773597,0.014440514,88.44151747,0.05011686,3.007011594,0.6087068,0.071595514,10.66084034,0.006041143,0.362468572,0.073374205,0.008630204,17.26812657,0.009785272,0.587116303,0.118849454,0.01397896,13.56205924,0.226034321,34,52.5,1.54,461,4.94,42,60,1
B1R3,2,1st point,101.86,22.951,74.804,76.032,368.789,28.371,6.727,37.584,44.032,259.838,22.264,42.549,31.92398352,0.018090257,1.08541544,0.206745798,0.025843225,9.495520632,0.005380795,0.322847701,0.0614948,0.00768685,24.23380253,0.013732488,0.823949286,0.156942721,0.01961784,24.58283942,0.013930276,0.83581654,0.159203151,0.019900394,107.793747,0.061083123,3.6649874,0.698092838,0.087261605,11.03605807,0.006253766,0.375225974,0.071471614,0.008933952,4.884140664,0.00276768,0.166060783,0.031630625,0.003953828,13.65468749,0.007737656,0.464259375,0.088430357,0.011053795,15.48741542,0.008776202,0.526572124,0.100299452,0.012537432,76.82638642,0.043534952,2.612097138,0.497542312,0.062192789,9.300253248,0.005270144,0.31620861,0.060230212,0.007528776,15.06589937,0.008537343,0.512240579,0.097569634,0.012196204,11.70568095,0.195094683,34,53,1.56,400,5.25,42,60,1
B1R3,3,1st point,95.547,21.76,71.65,74.957,387.135,27.507,6.525,36.756,43.492,273.364,22.661,46.023,30.90218144,0.017511236,1.050674169,0.206014543,0.024838633,9.3917952,0.005322017,0.319321037,0.062611968,0.007548961,23.935728,0.013563579,0.813814752,0.15957152,0.019239119,24.89978464,0.014109878,0.846592678,0.165998564,0.020014011,115.9059152,0.065680019,3.940801117,0.772706101,0.093163147,11.06716064,0.006271391,0.376283462,0.073781071,0.00889559,4.950488,0.002805277,0.168316592,0.033003253,0.003979116,13.76342912,0.007799277,0.46795659,0.091756194,0.011062804,15.72710784,0.008912028,0.534721667,0.104847386,0.012641174,82.73939328,0.046885656,2.813139372,0.551595955,0.066504477,9.65445472,0.005470858,0.32825146,0.064363031,0.007760082,16.46494496,0.009330135,0.559808129,0.1097663,0.013234235,12.21968102,0.20366135,34,54.5,1.6,443,5.1,42.3,60,1
B1R4,1,1st point,116.193,30.344,84.69,96.637,426.889,33.14,8.698,42.337,50.07,295.498,25.121,49.579,32.99805738,0.019798834,1.187930066,0.204815529,0.026516296,10.63044382,0.006378266,0.382695978,0.065982065,0.008542321,24.79007674,0.014874046,0.892442763,0.153869442,0.019920597,27.9028198,0.016741692,1.004501513,0.173189916,0.022421909,113.9486574,0.068369194,4.102151666,0.707267529,0.091565885,11.35893044,0.006815358,0.408921496,0.070503706,0.009127712,4.990665108,0.002994399,0.179663944,0.030976542,0.004010356,13.755172,0.008253103,0.495186192,0.08537693,0.011053263,15.76997422,0.009461985,0.567719072,0.097882599,0.012672301,79.71525791,0.047829155,2.869749285,0.494784359,0.064056904,9.269612066,0.005561767,0.333706034,0.057535523,0.007448795,15.64204613,0.009385228,0.563113661,0.097088562,0.012569501,12.98778167,0.216463028,36,51.5,1.43,431,5.8,44.8,60,1
B1R4,2,1st point,127.521,32.36,90.269,98.619,443.561,37.408,9.753,47.315,53.515,315.876,26.44,52.081,34.94394142,0.020966365,1.257981891,0.222258285,0.028142772,10.84365688,0.006506194,0.390371648,0.068970256,0.008733146,25.5095744,0.015305745,0.918344678,0.16225171,0.020544624,27.6242787,0.016574567,0.994474033,0.175702126,0.022247741,114.9835997,0.06899016,4.139409591,0.731344451,0.092604241,12.12210326,0.007273262,0.436395718,0.077101717,0.009762768,5.118253274,0.003070952,0.184257118,0.032554261,0.004122083,14.63113027,0.008778678,0.52672069,0.093060193,0.011783461,16.20132987,0.009720798,0.583247875,0.103047328,0.013048051,82.64635201,0.049587811,2.975268672,0.525665843,0.06656082,9.34436952,0.005606622,0.336397303,0.059434152,0.007525667,15.8381579,0.009502895,0.570173684,0.1007374,0.012755563,13.3130429,0.221884048,36,50,1.39,437,5.66,44.7,60,1
B1R4,3,1st point,89.561,23.536,65.418,76.116,343.753,28.099,7.816,35.71,41.973,245.835,19.588,39.015,27.3348213,0.016400893,0.984053567,0.156946342,0.021867857,9.2901888,0.005574113,0.334446797,0.053340797,0.007432151,20.7365394,0.012441924,0.746515418,0.11906147,0.016589232,23.6603028,0.014196182,0.851770901,0.135848629,0.018928242,96.8054949,0.058083297,3.484997816,0.555821023,0.077444396,10.5372567,0.006322354,0.379341241,0.060500995,0.008429805,4.9939128,0.002996348,0.179780861,0.028673184,0.00399513,12.617343,0.007570406,0.454224348,0.072444075,0.010093874,14.3290209,0.008597413,0.515844752,0.08227189,0.011463217,70.0445055,0.042026703,2.521602198,0.40216941,0.056035604,8.2112004,0.00492672,0.295603214,0.047145648,0.00656896,13.5205995,0.00811236,0.486741582,0.077630236,0.01081648,11.2349227,0.187248712,36,54,1.5,384,6.27,45,60,1
B2R1,1,1st point,89.592,21.08,69.416,80.496,466.326,23.093,5.893,34.937,46.526,337.873,28.7,68.394,18.2288624,0.015190719,0.91144312,0.144215684,0.016601878,5.745976,0.004788313,0.2872988,0.045458671,0.005233129,14.5527952,0.012127329,0.72763976,0.115132873,0.013253912,16.5715712,0.013809643,0.82857856,0.131104203,0.015092506,86.8697972,0.072391498,4.34348986,0.687261054,0.079116391,6.1127446,0.005093954,0.30563723,0.048360321,0.005567163,2.9789046,0.002482421,0.14894523,0.023567283,0.002713028,8.2707214,0.006892268,0.41353607,0.065432922,0.007532533,10.3822372,0.008651864,0.51911186,0.082137953,0.009455589,63.4656606,0.052888051,3.17328303,0.502101745,0.057801148,7.13434,0.005945283,0.356717,0.056442563,0.006497577,14.3665868,0.011972156,0.71832934,0.113659706,0.013084323,12.73400986,0.212233498,50,50,1,330,6.32,54.9,60,2
B2R1,2,1st point,83.782,17.186,66.695,77.222,457.965,22.309,5.737,34.725,50.376,348.51,29.05,66.477,18.20049722,0.015167081,0.910024861,0.151924017,0.016576045,5.338678552,0.004448899,0.266933928,0.04456326,0.004862184,14.90045074,0.012417042,0.745022537,0.124377719,0.013570538,16.9335513,0.014111293,0.846677565,0.141348508,0.015422178,90.46720838,0.07538934,4.523360419,0.75515199,0.082392722,6.328093788,0.005273411,0.316404689,0.052822152,0.005763291,3.127510284,0.002606259,0.156375514,0.026106096,0.00284837,8.7260207,0.007271684,0.436301035,0.072838236,0.007947196,11.74872963,0.009790608,0.587436482,0.098069529,0.010700118,69.32794532,0.057773288,3.466397266,0.578697373,0.063140205,7.6299966,0.006358331,0.38149983,0.063689454,0.006948995,14.85834796,0.012381957,0.742917398,0.124026277,0.013532193,13.37935152,0.222989192,50,53,1.06,337,5.99,54.9,60,2
B2R1,3,1st point,96.183,21.069,75.154,86.46,493.265,25.662,6.89,39.059,54.712,369.472,30.224,68.513,20.2069323,0.01683911,1.010346615,0.170666658,0.018336599,5.973730672,0.004978109,0.298686534,0.050453806,0.005420808,16.22218915,0.013518491,0.811109458,0.137011733,0.01472068,18.36454048,0.015303784,0.918227024,0.155105916,0.016664737,95.44920632,0.079541005,4.772460316,0.806158837,0.086614525,6.844049056,0.005703374,0.342202453,0.057804468,0.006210571,3.28698032,0.00273915,0.164349016,0.027761658,0.002982741,9.382619792,0.00781885,0.46913099,0.0792451,0.008514174,12.34867546,0.010290563,0.617433773,0.104296245,0.011205695,71.99191834,0.059993265,3.599595917,0.608039851,0.06532842,7.708493312,0.006423744,0.385424666,0.065105518,0.006995003,14.96379934,0.012469833,0.748189967,0.12638344,0.013578765,14.13715673,0.235619279,50,52,1.04,332,5.92,55.1,60,2
B2R2,1,1st point,191.574,48.228,135.605,168.709,672.694,55.575,13.777,67.029,90.409,458.643,58.918,98.206,35.70568332,0.032135115,1.928106899,0.292137409,0.032350787,10.37157135,0.009334414,0.560064853,0.084858311,0.009397061,25.81405807,0.023232652,1.393959136,0.21120593,0.023388576,31.66466041,0.028498194,1.709891662,0.259074494,0.028689457,120.7359454,0.108662351,6.519741051,0.987839553,0.109391628,11.67003605,0.010503032,0.630181947,0.095482113,0.010573523,4.282908318,0.003854617,0.231277049,0.035041977,0.003880487,13.69434729,0.012324913,0.739494753,0.11204466,0.01240763,17.82638821,0.016043749,0.962624963,0.145852267,0.016151426,82.90585596,0.07461527,4.476916222,0.67832064,0.075116044,12.26085781,0.011034772,0.662086322,0.100316109,0.011108831,19.2043832,0.017283945,1.037036693,0.157126772,0.017399945,20.85138155,0.347523026,54,52.5,0.97,452,6.6,59.6,60,2
B2R2,2,1st point,176.963,41.393,125.557,139.036,625.507,49.651,11.819,62.382,74.902,426.963,48.394,89.666,32.78194426,0.02950375,1.77022499,0.250031778,0.029902449,9.069124416,0.008162212,0.489732718,0.069171288,0.008272512,23.79041798,0.021411376,1.284682571,0.181452341,0.021700719,26.14805683,0.023533251,1.411995069,0.199434332,0.023851268,111.2376724,0.100113905,6.006834309,0.848422925,0.101466796,10.51354771,0.009462193,0.567731576,0.080188076,0.00959006,3.896276928,0.003506649,0.210398954,0.029717366,0.003554036,12.74035238,0.011466317,0.687979029,0.097172179,0.011621267,14.93025062,0.013437226,0.806233534,0.113874793,0.01361881,76.50994426,0.06885895,4.13153699,0.583550422,0.069789476,10.29368333,0.009264315,0.5558589,0.078511144,0.009389508,17.51265139,0.015761386,0.945683175,0.13357107,0.015974378,18.86889181,0.31448153,54,52,0.96,389,7.08,59.2,60,2
B2R2,3,1st point,135.043,33.104,102.674,122.414,595.072,35.51,9.885,48.743,68.409,404.916,41.608,82.974,26.5100346,0.023859031,1.431541868,0.206870212,0.024140672,7.9367488,0.007143074,0.428584435,0.061934167,0.007227394,20.6124028,0.018551163,1.113069751,0.16084823,0.018770148,24.2090308,0.021788128,1.307287663,0.188914402,0.022045323,110.3273184,0.099294587,5.957675194,0.860935722,0.100466698,8.375122,0.00753761,0.452256588,0.065354998,0.007626587,3.706247,0.003335622,0.200137338,0.028921581,0.003374997,10.7861746,0.009707557,0.582453428,0.084169571,0.009822149,14.3693198,0.012932388,0.775943269,0.11213053,0.013085047,75.6808952,0.068112806,4.086768341,0.59057346,0.068916835,9.4861776,0.00853756,0.51225359,0.074025085,0.00863834,17.0230628,0.015320757,0.919245391,0.132838929,0.015501609,17.76721686,0.296120281,54,54,1,377,6.92,59.3,60,2
B2R3,1,1st point,84.751,20.236,64.562,72.047,374.558,25.3,5.934,33.724,41.966,275.935,21.223,47.155,20.469262,0.015010792,0.900647528,0.156907235,0.019162713,6.598795056,0.004839116,0.290346982,0.050583098,0.006177595,16.12870775,0.011827719,0.709663141,0.123634694,0.015099216,17.73795281,0.013007832,0.780469924,0.13597037,0.016605743,82.77660777,0.060702846,3.642170742,0.634524519,0.077492995,7.6875348,0.005637526,0.338251531,0.058928838,0.007196841,3.523922264,0.00258421,0.15505258,0.027012645,0.003298991,9.498661104,0.006965685,0.417941089,0.072812036,0.008892364,11.27065814,0.008265149,0.495908958,0.086395289,0.010551254,61.57305726,0.045153575,2.709214519,0.471988592,0.057642862,6.810996108,0.00499473,0.299683829,0.052209726,0.006376252,12.38627238,0.009083266,0.544995985,0.094947036,0.011595659,11.28434681,0.188072447,44,52,1.18,306,5.74,47,60,2
B2R3,2,1st point,59.151,14.605,47.365,58.309,313,17.621,4.77,25.84,36.627,236.746,16.367,37.13,14.71171415,0.01078859,0.647315423,0.112186382,0.013772669,5.29682796,0.003884341,0.23306043,0.040391756,0.004958733,12.22071948,0.008961861,0.537711657,0.093190928,0.011440674,14.53375577,0.010658088,0.639485254,0.110829333,0.013606069,68.363208,0.050133019,3.007981152,0.521313891,0.063999599,5.934265592,0.004351795,0.261107686,0.045252632,0.005555483,3.21818104,0.002359999,0.141599966,0.024540722,0.003012765,7.67136768,0.00562567,0.337540178,0.058499164,0.007181706,9.951221704,0.007297563,0.437853755,0.075884533,0.009316037,52.24677259,0.0383143,2.298857994,0.398415597,0.048911872,5.669230184,0.004157435,0.249446128,0.043231565,0.005307364,10.05753176,0.007375523,0.442531397,0.076695216,0.009415562,9.23449102,0.153908184,44,51,1.16,264,5.77,47,60,2
B2R3,3,1st point,49.997,12.738,42.282,52.921,281.297,13.964,3.747,21.497,30.983,204.63,15.385,33.6,12.88714448,0.009450573,0.567034357,0.090005453,0.012090285,4.944494412,0.003625963,0.217557754,0.034532977,0.004638758,11.24250707,0.008244505,0.494670311,0.078519097,0.010547341,13.51046525,0.009907675,0.594460471,0.094358805,0.012675063,62.19429068,0.045609146,2.73654879,0.434372824,0.058348588,5.205845736,0.00381762,0.229057212,0.036358288,0.004883949,3.027846978,0.002220421,0.133225267,0.021146868,0.002840624,6.811685478,0.004995236,0.299714161,0.047573676,0.006390494,8.833854042,0.00647816,0.388689578,0.061696758,0.008287624,45.85087962,0.033623978,2.017438703,0.320228366,0.043015751,5.50876599,0.004039762,0.242385704,0.038473921,0.005168139,9.3917304,0.006887269,0.413236138,0.065593038,0.008811005,8.334018446,0.138900307,44,51.5,1.17,240,6.3,46.9,60,2
B3R1,1,1st point,119.829,37.13,86.402,102.388,436.046,33.928,9.5,41.208,51.02,285.542,22.285,45.181,28.24827212,0.022598618,1.355917062,0.212526185,0.02612557,10.31764034,0.008254112,0.495246736,0.07762488,0.009542326,21.00069684,0.016800557,1.008033448,0.157998973,0.01942261,24.46674938,0.0195734,1.17440397,0.184075857,0.022628208,96.80980963,0.077447848,4.646870862,0.728349665,0.089535084,9.623389104,0.007698711,0.461922677,0.072401674,0.008900244,4.326959,0.003461567,0.207694032,0.032553924,0.004001812,11.20182414,0.008961459,0.537687559,0.084277047,0.010360069,13.32924236,0.010663394,0.639803633,0.100282701,0.012327623,64.17783336,0.051342267,3.080536001,0.482842633,0.059355222,7.09897713,0.005679182,0.340750902,0.053409232,0.006565528,12.06324206,0.009650594,0.579035619,0.090757934,0.011156756,14.5279025,0.242131708,48,57,1.19,331,6.38,51.9,60,3
B3R1,2,1st point,90.199,33.198,67.316,93.83,383.604,25.835,9.119,33.536,45.589,259.592,19.093,39.795,21.45716563,0.017165733,1.02994395,0.157966864,0.019844777,9.306034452,0.007444828,0.446689654,0.068510683,0.008606737,16.57910498,0.013263284,0.795797039,0.122054761,0.015333276,22.23120042,0.01778496,1.06709762,0.163665279,0.020560648,84.0034831,0.067202786,4.032167189,0.61843055,0.077691083,7.73643429,0.006189147,0.371348846,0.056955344,0.007155084,4.173017706,0.003338414,0.20030485,0.030721603,0.003859438,9.378087264,0.00750247,0.450148189,0.069041133,0.008673376,11.94747349,0.009557979,0.573478727,0.08795686,0.011049686,57.56734901,0.046053879,2.763232752,0.423808704,0.053241479,6.299215182,0.005039372,0.302362329,0.04637459,0.005825864,10.71234333,0.008569875,0.51419248,0.078863877,0.00990737,12.54676362,0.209112727,48,56,1.17,269,6.52,51.9,60,3
B3R1,3,1st point,152.726,48.794,103.493,125.977,492.268,47.095,13.674,53.08,64.983,334.588,26.727,50.456,35.38093387,0.028304747,1.698284826,0.283520004,0.032722251,12.84660549,0.010277284,0.616637064,0.102944418,0.011881254,24.70633327,0.019765067,1.185903997,0.197980634,0.022849788,29.58126919,0.023665015,1.419900921,0.237045229,0.027358399,108.9997512,0.087199801,5.231988059,0.873453766,0.100809018,12.47823171,0.009982585,0.598955122,0.099992508,0.011540561,5.231957332,0.004185566,0.251133952,0.041925535,0.004838804,13.77588744,0.01102071,0.661242597,0.110391085,0.012740705,16.35667209,0.013085338,0.785120261,0.13107183,0.015127558,74.81188898,0.059849511,3.590970671,0.599494269,0.069190186,8.062082686,0.006449666,0.386979969,0.064604335,0.007456261,13.20695701,0.010565566,0.633933936,0.105832043,0.012214527,17.06105137,0.284350856,48,57,1.19,386,5.99,51.9,60,3
B3R2,1,1st point,114.827,35.72,83.358,103.733,447.242,34.018,10.734,44.846,53.213,306.685,26.102,50.847,28.98988284,0.021259247,1.275554845,0.2115348,0.025820948,10.68499768,0.007835665,0.470139898,0.077966816,0.009517002,21.70814505,0.015919306,0.955158382,0.158401058,0.01933519,26.4227978,0.019376718,1.162603103,0.192803168,0.023534476,105.9087193,0.077666394,4.659983651,0.772799942,0.094331653,10.29116509,0.007546854,0.452811264,0.075093079,0.00916622,4.903387196,0.003595817,0.215749037,0.035779276,0.004367389,12.79669932,0.009384246,0.56305477,0.093375584,0.01139787,14.73277292,0.010804033,0.648242009,0.107502821,0.013122308,73.38467289,0.053815427,3.228925607,0.535476883,0.065362867,8.459450188,0.006203597,0.372215808,0.061727331,0.007534733,14.18529472,0.010402549,0.624152968,0.103507955,0.012634675,14.62859134,0.243809856,44,56,1.27,351,6.03,49.4,60,3
B3R2,2,1st point,106.312,34.286,79.734,99.46,419.455,30.517,9.86,40.284,49.974,284.944,23.213,45.02,25.31754322,0.018566198,1.113971902,0.205529871,0.022550038,9.701009948,0.007114074,0.426844438,0.078753586,0.008640576,19.55495441,0.0143403,0.860417994,0.158748707,0.017417368,23.83190628,0.017476731,1.048603876,0.19346935,0.021226799,93.21258219,0.068355894,4.101353616,0.756707309,0.083023353,8.883822906,0.006514803,0.390888208,0.072119596,0.007912717,4.40501348,0.003230343,0.193820593,0.035760257,0.003923494,11.00148431,0.008067755,0.48406531,0.089310943,0.009798893,13.10245073,0.009608464,0.576507832,0.106366759,0.011670199,64.04817619,0.046968663,2.818119752,0.519948294,0.057046959,7.300184234,0.005353468,0.321208106,0.059263488,0.006502188,12.02833436,0.008820779,0.529246712,0.097646995,0.010713496,12.86504834,0.214417472,44,52.5,1.19,305,5.42,49.4,60,3
B3R2,3,1st point,111.045,33.39,82.46,98.04,436.918,31.22,9.928,41.829,51.46,302.282,24.322,49.921,26.5651188,0.019923839,1.195430346,0.187371528,0.024052924,9.5866296,0.007189972,0.431398332,0.067617293,0.008680047,20.3152944,0.015236471,0.914188248,0.143289694,0.01839413,23.7217056,0.017791279,1.067476752,0.167316105,0.021478405,97.81399152,0.073360494,4.401629618,0.689910598,0.088563976,9.1121808,0.006834136,0.410048136,0.064270868,0.008250466,4.45689792,0.003342673,0.200560406,0.0314358,0.004035421,11.43173256,0.008573799,0.514427965,0.080631343,0.010350663,13.5374544,0.010153091,0.609185448,0.095483613,0.012257252,68.37717648,0.051282882,3.076972942,0.48228416,0.061910924,7.60400208,0.005703002,0.342180094,0.053633244,0.006884911,13.20096744,0.009900726,0.594043535,0.093110272,0.011952586,13.75754182,0.229292364,45,54,1.2,341,6.38,49.7,60,3
B3R3,1,1st point,152.21,62.718,102.017,141.271,433.341,43.19,16.743,50.728,68.223,288.171,28.239,44.314,33.78716268,0.025903491,1.554209483,0.243225271,0.030415058,15.19895834,0.011652535,0.699152084,0.109413472,0.013682037,23.36167504,0.017910618,1.074637052,0.168174812,0.021030079,31.51504487,0.024161534,1.449692064,0.226868868,0.028369708,92.18032043,0.070671579,4.24029474,0.663582901,0.082980328,11.14283652,0.008542841,0.51257048,0.080214473,0.010030733,5.649583044,0.004331347,0.25988082,0.040669925,0.00508573,12.70853942,0.009743214,0.584592814,0.091485573,0.011440172,16.34239088,0.012529166,0.751749981,0.117644754,0.01471135,62.02735007,0.047554302,2.853258103,0.446519265,0.055836753,8.037394212,0.006162002,0.369720134,0.057859176,0.007235228,11.37630031,0.00872183,0.523309814,0.08189512,0.010240897,14.87306757,0.247884459,46,52.5,1.14,347,6.39,51.1,60,3
B3R3,2,1st point,142.935,56.732,97.238,131.737,423.041,41.798,15.044,47.224,60.884,273.148,26.173,43.641,32.41963012,0.02485505,1.491302986,0.246496361,0.029013677,14.20045366,0.010887014,0.653220869,0.107970391,0.012708577,22.76147778,0.017450466,1.047027978,0.173062476,0.020370194,30.05291042,0.023040565,1.38243388,0.228501468,0.026895601,91.62059343,0.070242455,4.214547298,0.696619388,0.081995084,11.0441229,0.008467161,0.508029653,0.083971844,0.009883845,5.389611488,0.004132035,0.247922128,0.040978864,0.004823388,12.19091885,0.009346371,0.560782267,0.092691284,0.010910161,15.07798717,0.01155979,0.69358741,0.114642547,0.013493918,59.9404081,0.045954313,2.757258772,0.455745252,0.053643167,7.741747896,0.00593534,0.356120403,0.058862877,0.006928413,11.43364463,0.008765794,0.525947653,0.086933496,0.010232445,14.4381813,0.240636355,46,53.5,1.16,317,6.05,51.4,60,3
B3R3,3,1st point,166.138,65.902,111.656,150.054,479.338,46.833,17.899,55.065,68.595,307.54,31.544,51.784,37.64538601,0.028861463,1.731687757,0.277070041,0.033756097,16.27767695,0.012479552,0.74877314,0.119803702,0.014595968,26.03124014,0.019957284,1.197437047,0.191589927,0.023341853,34.2166954,0.0262328,1.573967988,0.251834878,0.030681637,104.4114828,0.080048803,4.802928209,0.768468513,0.093624332,12.21266194,0.009363041,0.561782449,0.089885192,0.010950925,6.044685426,0.004634259,0.27805553,0.044488885,0.005420186,13.96751031,0.010708425,0.642505474,0.102800876,0.012524473,16.85175453,0.012919678,0.775180708,0.124028913,0.015110735,67.78861596,0.051971272,3.118276334,0.498924213,0.060785114,8.953444656,0.006864308,0.411858454,0.065897353,0.00802843,13.26808642,0.0101722,0.610331975,0.097653116,0.011897309,16.45278507,0.274213084,46,54,1.17,364,6.25,51.3,60,3
